0.723,0.858,-6.609,0.0995,0.0346,0.000319,0.436,105.988,0
0.332,0.462,-10.935,0.0403,0.109,2.01e-06,0.076,113.985,0
0.448,0.866,-4.347,0.0854,0.00222,2.18e-05,0.578,150.034,0
0.356,0.915,-7.187,0.0862,7.89e-05,0.000857,0.487,172.978,0
0.595,0.818,-6.189,0.0479,0.000712,0.0386,0.48,144.956,0
0.746,0.767,-2.907,0.0374,0.0601,1.07e-05,0.773,94.007,0
0.476,0.949,-4.794,0.102,0.000358,0.0181,0.33,177.962,0
0.78,0.437,-10.277,0.0606,0.2,0.000174,0.82,131.225,0
0.583,0.895,-6.575,0.0359,0.0696,0.826,0.968,133.035,0
0.629,0.791,-4.263,0.0402,0.238,0,0.673,107.821,0
0.609,0.874,-3.889,0.0293,0.0263,4.99e-05,0.744,112.011,0
0.546,0.776,-7.359,0.0352,0.403,0.00633,0.888,169.847,0
0.773,0.656,-10.88,0.0381,0.202,0.00323,0.971,119.754,0
0.565,0.374,-7.59,0.0333,0.876,0,0.261,72.536,0
0.688,0.908,-2.798,0.0964,0.000454,0.149,0.33,130.021,0
0.524,0.987,-4.502,0.337,0.000214,0.421,0.355,169.952,0
0.829,0.959,-6.145,0.116,0.00477,0.8,0.154,125.002,0
0.466,0.801,-5.175,0.0354,0.0209,0,0.379,103.197,0
0.46,0.968,-3.18,0.311,0.023,0.00139,0.141,170.023,0
0.611,0.889,-3.209,0.192,0.0529,0,0.593,125.143,0
0.7,0.796,-5.452,0.0306,0.0811,7.42e-06,0.669,120.0,0
0.751,0.925,-7.871,0.0579,0.00933,0.94,0.484,126.032,0
0.577,0.805,-6.251,0.0509,0.0723,8.64e-06,0.576,160.128,0
0.715,0.512,-10.388,0.03,0.653,1.59e-06,0.702,118.067,0
0.648,0.738,-5.883,0.247,0.0408,0,0.603,159.145,0
0.669,0.406,-12.186,0.0501,0.646,1.27e-05,0.362,92.964,0
0.959,0.424,-9.5,0.0522,0.435,0.00049,0.852,108.997,0
0.402,0.794,-3.982,0.125,0.133,0,0.702,195.058,0
0.705,0.854,-7.048,0.0849,0.514,0.259,0.77,95.075,0
0.419,0.327,-11.277,0.0348,0.775,0.00183,0.637,90.812,0
0.821,0.455,-13.384,0.193,0.53,8.01e-06,0.575,110.07,0
0.538,0.775,-5.48,0.0291,0.0053,0,0.614,154.889,0
0.662,0.772,-5.131,0.0656,0.037,0,0.414,103.268,0
0.771,0.631,-7.276,0.0382,0.762,0.00454,0.644,97.054,0
0.537,0.988,-4.042,0.238,0.000146,0.865,0.031,174.987,0
0.602,0.859,-6.919,0.108,0.197,0,0.824,173.942,0
0.534,0.676,-5.909,0.0321,0.00317,0.232,0.497,126.949,0
0.369,0.994,-4.219,0.497,6.24e-06,0.659,0.0419,179.947,0
0.878,0.728,-4.268,0.445,0.0418,0.000117,0.687,128.0,0
0.69,0.753,-3.83,0.0555,0.162,0,0.931,148.024,0
0.638,0.831,-3.944,0.182,0.0281,3.06e-06,0.685,175.038,0
0.708,0.543,-7.887,0.0355,0.33,1.43e-06,0.606,124.954,0
0.642,0.802,-7.269,0.0463,0.0408,1.24e-06,0.373,94.502,0
0.673,0.71,-6.744,0.0324,0.00277,0,0.54,110.017,0
0.651,0.628,-5.811,0.0959,0.173,0,0.513,150.014,0
0.702,0.77,-5.416,0.0482,0.124,0,0.593,107.951,0
0.365,0.668,-7.695,0.0675,0.00964,2.76e-06,0.18,122.092,0
0.527,0.809,-5.118,0.0709,0.0275,0,0.248,125.907,0
0.615,0.933,-4.683,0.113,0.00713,3.34e-06,0.281,127.949,0
